epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,0.97842,0.62385,0.99691,0.79576,0.58975,0.60106,0.39652,1.1392,1.0002,1.1231,0.004984,0.004984,0.004984
154,0.93256,0.63041,1.01,0.7978,0.57355,0.59724,0.39151,1.1083,1.0059,1.1055,0.004951,0.004951,0.004951
155,0.88745,0.59711,0.99961,0.83552,0.57398,0.59908,0.38646,1.0957,1.0581,1.1013,0.004918,0.004918,0.004918
156,0.91962,0.62549,1.0039,0.85552,0.5925,0.61312,0.38813,1.0877,1.054,1.093,0.004885,0.004885,0.004885
157,0.88504,0.59833,1.0003,0.8498,0.58644,0.62233,0.38869,1.0965,1.067,1.0951,0.004852,0.004852,0.004852
158,0.88089,0.6043,0.99062,0.68051,0.61297,0.62739,0.39598,1.0838,1.0856,1.0937,0.004819,0.004819,0.004819
159,0.91828,0.5804,0.98451,0.67219,0.606,0.60695,0.38243,1.1175,1.0351,1.1051,0.004786,0.004786,0.004786
160,0.88129,0.60251,1.0064,0.68009,0.58429,0.61781,0.38927,1.094,1.0512,1.0929,0.004753,0.004753,0.004753
161,0.90479,0.58839,0.97888,0.62716,0.58922,0.59075,0.37885,1.0835,1.0393,1.0907,0.00472,0.00472,0.00472
162,0.91908,0.59566,0.98068,0.80505,0.56122,0.58911,0.38196,1.0822,1.0387,1.0821,0.004687,0.004687,0.004687
163,0.8936,0.60331,0.99311,0.71148,0.56103,0.56167,0.38631,1.0651,1.0469,1.0919,0.004654,0.004654,0.004654
164,0.89315,0.59555,0.989,0.72604,0.59564,0.59162,0.39131,1.0894,1.0558,1.0988,0.004621,0.004621,0.004621
165,0.85737,0.57987,0.98746,0.72581,0.59877,0.5926,0.39203,1.0605,1.0668,1.0966,0.004588,0.004588,0.004588
166,0.92899,0.60864,0.98328,0.73897,0.63621,0.60964,0.40539,1.0996,1.1029,1.1004,0.004555,0.004555,0.004555
167,0.90059,0.59875,0.98282,0.74584,0.64584,0.62736,0.41503,1.1066,1.0877,1.1019,0.004522,0.004522,0.004522
168,0.9254,0.61491,0.99298,0.75962,0.57758,0.61723,0.41322,1.0723,1.0705,1.1052,0.004489,0.004489,0.004489
169,0.89017,0.61419,1.0098,0.79919,0.60561,0.63831,0.41102,1.0925,1.0459,1.1121,0.004456,0.004456,0.004456
170,0.88946,0.58587,0.99536,0.81185,0.58048,0.62264,0.41521,1.0976,1.0544,1.1222,0.004423,0.004423,0.004423
171,0.89281,0.57881,0.98736,0.77762,0.62048,0.62308,0.41369,1.1038,1.0382,1.1112,0.00439,0.00439,0.00439
172,0.89523,0.58213,0.98344,0.79888,0.60109,0.62332,0.41246,1.1235,1.022,1.1201,0.004357,0.004357,0.004357
173,0.85825,0.58847,0.98868,0.82487,0.63795,0.6411,0.41068,1.1148,1.0476,1.1058,0.004324,0.004324,0.004324
174,0.84961,0.58116,0.9801,0.77849,0.63562,0.62165,0.41798,1.115,1.0184,1.1087,0.004291,0.004291,0.004291
175,0.80951,0.56526,0.97861,0.80173,0.64274,0.64226,0.41288,1.0914,1.0705,1.1053,0.004258,0.004258,0.004258
176,0.8861,0.57635,0.99281,0.80418,0.6307,0.64123,0.41766,1.132,1.0594,1.1138,0.004225,0.004225,0.004225
177,0.84355,0.56251,0.99637,0.77699,0.66407,0.63787,0.41587,1.1055,1.0546,1.1102,0.004192,0.004192,0.004192
178,0.88981,0.5777,0.9757,0.76411,0.66866,0.6426,0.41676,1.1553,1.0739,1.1159,0.004159,0.004159,0.004159
179,0.85694,0.57221,0.99196,0.80853,0.61251,0.62668,0.3952,1.165,1.078,1.1164,0.004126,0.004126,0.004126
180,0.8384,0.57238,1.0014,0.78329,0.64946,0.6299,0.40582,1.133,1.0091,1.1131,0.004093,0.004093,0.004093
181,0.84366,0.56555,0.97375,0.77683,0.63662,0.64025,0.40415,1.1429,0.99022,1.1226,0.00406,0.00406,0.00406
182,0.86728,0.57982,1.0043,0.80145,0.63243,0.65017,0.41991,1.124,0.91918,1.1152,0.004027,0.004027,0.004027
183,0.85194,0.56437,0.99243,0.81473,0.65679,0.64389,0.41878,1.1271,0.87595,1.1152,0.003994,0.003994,0.003994
184,0.90122,0.56414,0.9716,0.80884,0.65046,0.64758,0.42478,1.1444,0.89104,1.1139,0.003961,0.003961,0.003961
185,0.86515,0.54289,0.96347,0.78529,0.63632,0.65571,0.43101,1.1092,0.8838,1.1071,0.003928,0.003928,0.003928
186,0.84105,0.55701,0.97525,0.77161,0.62052,0.64025,0.42124,1.1138,0.90343,1.1066,0.003895,0.003895,0.003895
187,0.86477,0.54954,0.96205,0.74463,0.61924,0.64638,0.42677,1.0981,0.9609,1.1062,0.003862,0.003862,0.003862
188,0.84575,0.57096,0.98222,0.83025,0.53656,0.63406,0.42818,1.0989,0.97822,1.1086,0.003829,0.003829,0.003829
189,0.86191,0.56681,0.97303,0.81466,0.55228,0.62546,0.41395,1.0869,0.99454,1.1042,0.003796,0.003796,0.003796
190,0.81031,0.60372,1.0079,0.78999,0.55378,0.61286,0.41281,1.0845,1.0348,1.1113,0.003763,0.003763,0.003763
191,0.78511,0.55246,0.97791,0.85001,0.49551,0.58902,0.405,1.0902,1.0246,1.1097,0.00373,0.00373,0.00373
192,0.86209,0.56094,0.97637,0.7605,0.52798,0.58251,0.39877,1.1054,0.99597,1.1075,0.003697,0.003697,0.003697
193,0.83195,0.56614,0.99555,0.80453,0.5066,0.59074,0.40814,1.1028,0.95838,1.1027,0.003664,0.003664,0.003664
194,0.83308,0.54992,0.96521,0.72601,0.58579,0.59744,0.41167,1.1291,0.99441,1.1189,0.003631,0.003631,0.003631
195,0.7805,0.54529,0.96745,0.74683,0.6297,0.60846,0.41305,1.1326,0.99541,1.1236,0.003598,0.003598,0.003598
196,0.77199,0.53493,0.96642,0.76625,0.61001,0.6123,0.41617,1.1331,1.0308,1.1183,0.003565,0.003565,0.003565
197,0.83077,0.56246,0.97326,0.72273,0.61801,0.60371,0.40399,1.1316,1.0067,1.121,0.003532,0.003532,0.003532
198,0.83387,0.56896,0.99392,0.71007,0.60846,0.58753,0.39518,1.1239,1.0362,1.1177,0.003499,0.003499,0.003499
